sdreport(.) result
            Estimate Std. Error
b_j       1.99041465 0.29956336
b_j       2.39910035 0.48442653
b_j       2.12872264 0.29357999
b_j       2.07428302 0.48293525
b_j       2.21902402 0.29499904
b_j       1.70705357 0.48715929
b_j       1.91099559 0.29595838
b_j       2.00170570 0.48292033
b_j       1.59094945 0.29201882
b_j      -0.76530597 0.39038942
b_j       0.04232914 0.08607604
b_j      -1.07630496 0.17970178
b_j      -0.05754713 0.01086226
ln_tau_O  1.66913217 0.32943887
ln_tau_E  2.53937407 0.46026603
ln_kappa -2.32662060 0.28162888
thetaf    0.14531164 0.04454389
ln_phi    0.52393353 0.03051756
Maximum gradient component: 8.016494e-08 
