"","Age 0","Age 1","Age 2","Age 3","Age 4","Age 5","Total"
"base",0.749,79.326,12.445,17.763,24.491,11.28,130.439
"base_spatial",9.094,0,4.848,2.226,5.542,2.739,8.834
"base_st",3.509,4.328,5.88,5.451,6.896,2.739,13.187
"base_siteRE",10.28,1.909,0,0,0,3.426,0
"base_lat",0,81.049,13.81,15.786,25.626,11.06,131.715
"base_latsmooth",0,59.335,15.574,12.543,28.013,0,99.85
"base_2dsmooth",7.169,46.02,16.876,9.179,24.965,3.613,92.206
