"model","pdHess","maxgr.ok","maxgr","no.na.se","aic","daic"
"base",TRUE,TRUE,1.31729074081295e-07,TRUE,6736.67605120246,187.104
"base_spatial",TRUE,TRUE,2.05286137477945e-07,TRUE,6551.715214271,2.143
"base_spatial_st",TRUE,TRUE,5.70903324614846e-08,TRUE,6552.44103354159,2.869
"base_siteRE",TRUE,TRUE,3.74851555906552e-08,TRUE,6549.57183811914,0
"base_lat",TRUE,TRUE,0.000444527381148418,TRUE,6714.32309330229,164.751
"base_latsmooth",TRUE,TRUE,2.39658468995443e-07,TRUE,6691.75982497731,142.188
"base_2dsmooth",TRUE,TRUE,7.22853345236363e-09,TRUE,6640.2736648515,90.702
