sdreport(.) result
            Estimate Std. Error
b_j       3.36800645 0.64096466
b_j       3.00987055 0.98952822
b_j       3.68695048 0.62722750
b_j       3.11646968 0.99160691
b_j       3.93652209 0.64956185
b_j       2.55381902 0.99513702
b_j       3.32157321 0.62728027
b_j       2.38319167 0.98749890
b_j       3.29709864 0.61291794
b_j      -0.52884844 0.76954537
b_j       0.26992133 0.17593561
b_j      -0.23800888 0.40606705
b_j      -0.10214170 0.02428128
b_j2      1.99557649 0.28967395
b_j2      2.38835438 0.41999446
b_j2      2.06016176 0.27958316
b_j2      1.98920996 0.41746120
b_j2      2.09999137 0.28157464
b_j2      1.76217816 0.42114254
b_j2      1.92029405 0.28178910
b_j2      2.08734406 0.41938029
b_j2      1.54935211 0.27420484
b_j2     -0.50935586 0.31428978
b_j2     -0.05573052 0.09190534
b_j2     -1.13091578 0.18401301
b_j2     -0.03593936 0.01095967
ln_tau_O  0.60476584 0.46718035
ln_tau_O  1.79001707 0.39907259
ln_tau_E  2.45869950 2.63577204
ln_tau_E  2.52942252 0.56786435
ln_kappa -1.90265415 0.35965727
ln_kappa -2.20726127 0.32467834
ln_phi    0.04600947 0.03513328
Maximum gradient component: 4.5708e-07 
