sdreport(.) result
            Estimate Std. Error
b_j       3.36763157 0.63847958
b_j       3.00802381 0.98716934
b_j       3.68219499 0.62456139
b_j       3.11332433 0.99016580
b_j       3.92821387 0.64566283
b_j       2.54764952 0.99283556
b_j       3.32013189 0.62518924
b_j       2.38519708 0.98583796
b_j       3.29240450 0.61051682
b_j      -0.52722879 0.76889007
b_j       0.26936646 0.17572146
b_j      -0.24126898 0.40483668
b_j      -0.10215028 0.02421908
b_j2      2.02954258 0.28139581
b_j2      2.43896744 0.41320352
b_j2      2.11008889 0.27278718
b_j2      2.05506174 0.40953380
b_j2      2.13134787 0.27483972
b_j2      1.82555267 0.41416882
b_j2      1.95174486 0.27686275
b_j2      2.14481206 0.41234214
b_j2      1.58158416 0.26855062
b_j2     -0.52625910 0.31502517
b_j2     -0.05744267 0.09199238
b_j2     -1.14764416 0.18075719
b_j2     -0.03736310 0.01070061
ln_tau_O  0.60486004 0.46859313
ln_tau_O  1.88040847 0.43262919
ln_kappa -1.90429810 0.36106265
ln_kappa -2.31811728 0.37242411
ln_phi    0.02718883 0.03355093
Maximum gradient component: 2.052861e-07 
