sdreport(.) result
            Estimate Std. Error
b_j       3.36404431 0.62904021
b_j       2.99740727 0.95318890
b_j       3.68890671 0.61425306
b_j       3.13004751 0.95562794
b_j       3.92559641 0.63719667
b_j       2.51950804 0.95891214
b_j       3.32389841 0.61454409
b_j       2.38973977 0.95395482
b_j       3.29579369 0.60007431
b_j      -0.75855344 0.73740492
b_j       0.27049170 0.17594751
b_j      -0.18544606 0.40523683
b_j      -0.09869064 0.02420503
b_j2      2.05677972 0.27030124
b_j2      2.29273202 0.41788630
b_j2      2.12945002 0.26062054
b_j2      1.91047496 0.41708057
b_j2      2.14051270 0.26279379
b_j2      1.70063665 0.42127177
b_j2      1.98084450 0.26518939
b_j2      1.99938785 0.41934243
b_j2      1.60427798 0.25646561
b_j2     -0.37363647 0.32129901
b_j2     -0.05786945 0.09197648
b_j2     -1.14224087 0.18063366
b_j2     -0.03684552 0.01066788
ln_phi    0.02715211 0.03346381
ln_tau_G -0.15853986 0.13847057
ln_tau_G -0.94065612 0.12473393
Maximum gradient component: 1.759837e-07 
