"model","pdHess","maxgr.ok","maxgr","no.na.se","aic","daic"
"base",TRUE,TRUE,1.18166827687113e-07,TRUE,6736.67605120246,187.104
"base_spatial",TRUE,TRUE,4.16640446587735e-06,TRUE,6551.715214271,2.143
"base_spatial_st",TRUE,TRUE,1.53157543536508e-07,TRUE,6552.44103354215,2.869
"base_siteRE",TRUE,TRUE,1.31515326984299e-06,TRUE,6549.57183811929,0
"base_lat",TRUE,TRUE,0.000445834017057223,TRUE,6714.32309330228,164.751
"base_latsmooth",TRUE,TRUE,4.75734074134593e-06,TRUE,6691.75982497729,142.188
"base_2dsmooth",TRUE,TRUE,1.58578627063033e-06,TRUE,6640.27366485164,90.702
